source	target	mor
FOSL2_JUND	OPRM1	1
FOSL2_JUN	OPRM1	1
FOSB_JUNB	OPRM1	1
JUNB	OPRM1	1
FOSL2_JUNB	OPRM1	1
JUND	OPRM1	1
JUN_JUND	OPRM1	1
JUNB_JUND	OPRM1	1
FOSL1_JUND	OPRM1	1
FOSL1_JUN	OPRM1	1
FOSB_JUND	OPRM1	1
FOSB_JUN	OPRM1	1
JUN_JUNB	OPRM1	1
FOS_JUND	OPRM1	1
FOSL1_JUNB	GC	1
FOS_JUN	GC	1
FOS_JUNB	GC	1
FOSL2_JUND	GC	1
FOSL2_JUN	GC	1
FOSB_JUNB	GC	1
JUNB	GC	1
FOSL2_JUNB	GC	1
JUND	GC	1
JUN_JUND	GC	1
JUNB_JUND	GC	1
FOSL1_JUND	GC	1
FOSL1_JUN	GC	1
FOSB_JUND	GC	1
FOSB_JUN	GC	1
JUN_JUNB	GC	1
FOS_JUND	GC	1
FOSL1_JUNB	IGHE	1
FOS_JUN	IGHE	1
FOS_JUNB	IGHE	1
FOSL2_JUND	IGHE	1
FOSL2_JUN	IGHE	1
JUN	IGHE	1
FOSB_JUNB	IGHE	1
JUNB	IGHE	1
FOSL2_JUNB	IGHE	1
JUND	IGHE	1
JUN_JUND	IGHE	1
JUNB_JUND	IGHE	1
FOSL1_JUND	IGHE	1
FOSL1_JUN	IGHE	1
FOSB_JUND	IGHE	1
FOSB_JUN	IGHE	1
JUN_JUNB	IGHE	1
FOS_JUND	IGHE	1
FOSL1_JUNB	LPL	1
FOS_JUN	LPL	1
FOS_JUNB	LPL	1
FOSL2_JUND	LPL	1
FOSL2_JUN	LPL	1
FOSB_JUNB	LPL	1
JUNB	LPL	1
FOSL2_JUNB	LPL	1
JUND	LPL	1
JUN_JUND	LPL	1
JUNB_JUND	LPL	1
FOSL1_JUND	LPL	1
FOSL1_JUN	LPL	1
FOSB_JUND	LPL	1
FOSB_JUN	LPL	1
JUN_JUNB	LPL	1
FOS_JUND	LPL	1
FOSL1_JUNB	IL1RN	1
FOS_JUN	IL1RN	1
FOS_JUNB	IL1RN	1
FOSL2_JUND	IL1RN	1
FOSL2_JUN	IL1RN	1
FOSB_JUNB	IL1RN	1
JUNB	IL1RN	1
FOSL2_JUNB	IL1RN	1
JUND	IL1RN	1
JUN_JUND	IL1RN	1
JUNB_JUND	IL1RN	1
FOSL1_JUND	IL1RN	1
FOSL1_JUN	IL1RN	1
FOSB_JUND	IL1RN	1
FOSB_JUN	IL1RN	1
JUN_JUNB	IL1RN	1
FOS_JUND	IL1RN	1
FOSL1_JUNB	AP3B1	1
FOS_JUN	AP3B1	1
FOS_JUNB	AP3B1	1
FOSL2_JUND	AP3B1	1
FOSL2_JUN	AP3B1	1
JUN	AP3B1	1
FOSB_JUNB	AP3B1	1
JUNB	AP3B1	1
FOSL2_JUNB	AP3B1	1
JUND	AP3B1	1
JUN_JUND	AP3B1	1
JUNB_JUND	AP3B1	1
FOSL1_JUND	AP3B1	1
FOSL1_JUN	AP3B1	1
FOSB_JUND	AP3B1	1
FOSB_JUN	AP3B1	1
JUN_JUNB	AP3B1	1
FOS_JUND	AP3B1	1
RELA	PRKCQ	1
NFKB1	PRKCQ	1
RELA_RELB	PRKCQ	1
NFKB2_RELA	PRKCQ	1
NFKB1_RELB	PRKCQ	1
REL_RELA	PRKCQ	1
NFKB1_NFKB2	PRKCQ	1
NFKB1_REL	PRKCQ	1
NFKB2_RELB	PRKCQ	1
RELB	PRKCQ	1
NFKB1_RELA	PRKCQ	1
NFKB2	PRKCQ	1
NFKB2_REL	PRKCQ	1
REL_RELB	PRKCQ	1
REL	PRKCQ	1
FOSL1_JUNB	MMP11	1
FOS_JUN	MMP11	1
FOS_JUNB	MMP11	1
FOSL2_JUND	MMP11	1
FOSL2_JUN	MMP11	1
FOSB_JUNB	MMP11	1
JUNB	MMP11	1
FOSL2_JUNB	MMP11	1
JUND	MMP11	1
JUN_JUND	MMP11	1
JUNB_JUND	MMP11	1
FOSL1_JUND	MMP11	1
FOSL1_JUN	MMP11	1
FOSB_JUND	MMP11	1
FOSB_JUN	MMP11	1
JUN_JUNB	MMP11	1
FOS_JUND	MMP11	1
RELA_RELB	F3	1
NFKB2_RELA	F3	1
NFKB1_RELB	F3	1
REL_RELA	F3	1
NFKB1_NFKB2	F3	1
NFKB1_REL	F3	1
NFKB2_RELB	F3	1
RELB	F3	1
NFKB1_RELA	F3	1
NFKB2	F3	1
NFKB2_REL	F3	1
REL_RELB	F3	1
RELA	RRM2	1
NFKB1	RRM2	1
RELA_RELB	RRM2	1
NFKB2_RELA	RRM2	1
NFKB1_RELB	RRM2	1
REL_RELA	RRM2	1
NFKB1_NFKB2	RRM2	1
NFKB1_REL	RRM2	1
NFKB2_RELB	RRM2	1
RELB	RRM2	1
NFKB1_RELA	RRM2	1
NFKB2	RRM2	1
NFKB2_REL	RRM2	1
REL_RELB	RRM2	1
REL	RRM2	1
